ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents,greedy_costs,sampling_costs,factorial_costs,exact_costs
2357342,0.40029776674937967,201500.0,80660.0,[],50,1.3,0.5,20,20,0.1,0.09292621164282895,0.28,2.44,4.82,0,0.5,0,201500.0,0.0,6,7,0.0,0.0,0.0,15688.466070521506
8510520,0.4002514786010339,214730.0,85946.0,[],50,1.3,0.5,20,18,0.1,0.060688093075146464,0.06,2.5,4.11,0,0.5,0,214730.0,0.0,6,7,0.0,0.0,0.0,24200.661631825154
356539,0.400277085065115,216540.0,86676.0,[],50,1.3,0.5,20,20,0.1,0.0646465161181111,0.16,2.52,4.59,0,0.5,0,216540.0,0.0,6,7,0.0,0.0,0.0,33100.56336618832
9392003,0.40025658082295923,210460.0,84238.0,[],50,1.3,0.5,20,18,0.1,0.07614856778580961,0.05,2.46,4.34,0,0.5,0,210460.0,0.0,6,7,0.0,0.0,0.0,25761.863495616282
7930492,0.40018923046278465,301220.0,120545.0,[],50,1.3,0.5,20,19,0.1,0.07867315420336299,0.07,2.5,4.44,0,0.5,0,301220.0,0.0,10,7,0.0,0.0,0.0,22272.703658598683
546604,0.6001512973749905,264380.0,158668.0,[],50,1.3,0.5,20,20,0.1,0.08537171807750304,0.08,2.48,4.65,0,0.5,0,264380.0,0.0,10,7,0.0,0.0,0.0,27370.80689088221
3393010,0.400232815319248,257715.0,103146.0,[],50,1.3,0.5,20,20,0.1,0.07400107214293841,0.13,2.44,4.94,0,0.5,0,257715.0,0.0,10,7,0.0,0.0,0.0,26427.074571279016
5017431,0.6001652141588534,242110.0,145306.0,[],50,1.3,0.5,20,20,0.1,0.07004989709317273,0.08,2.64,4.26,0,0.5,0,242110.0,0.0,10,7,0.0,0.0,0.0,56191.626453579345
1640627,0.40019385793444373,309505.0,123862.0,[],50,1.3,0.5,20,20,0.1,0.07026176282442204,0.06,2.44,4.9,0,0.5,0,309505.0,0.0,15,7,0.0,0.0,0.0,30864.141204952328
8051390,0.4002161227577264,277620.0,111108.0,[],50,1.3,0.5,20,20,0.1,0.07918799725588652,0.05,2.44,4.47,0,0.5,0,277620.0,0.0,15,7,0.0,0.0,0.0,21466.32841744796
2543813,0.40020122748767484,298170.0,119328.0,[],50,1.3,0.5,20,23,0.1,0.0742171607519587,0.09,2.56,4.97,0,0.5,0,298170.0,0.0,15,7,0.0,0.0,0.0,26556.02197920521
3301822,0.6001380331953001,297030.0,178259.0,[],50,1.3,0.5,20,21,0.1,0.07311378483371822,0.08,2.58,4.0,0,0.5,0,297030.0,0.0,15,7,0.0,0.0,0.0,57054.93733142837
8508469,0.7926697686964731,326238.0,258599.0,[],50,1.3,0.5,20,20,0.1,0.07325691793007516,0.09,2.46,4.68,0,0.5,0,326238.0,0.0,20,7,0.0,0.0,0.0,82999.53311433153
8538293,0.40025807006602293,232495.0,93058.0,[],50,1.3,0.5,20,24,0.1,0.07525007021242,0.14,2.46,4.8,0,0.5,0,232495.0,0.0,20,7,0.0,0.0,0.0,19202.270617165697
9184337,0.4002298473157117,274095.0,109701.0,[],50,1.3,0.5,20,21,0.1,0.080601921557244,0.1,2.56,4.91,0,1.5,0,274095.0,0.0,20,7,0.0,0.0,0.0,13420.678959376379
1186775,0.40018422426233535,325690.0,130336.0,[],50,1.3,0.5,20,20,0.1,0.07615325901920508,0.05,2.42,5.11,0,0.5,0,325690.0,0.0,20,7,0.0,0.0,0.0,23645.341471455442
6224128,0.40022285364087135,269235.0,107754.0,[],50,1.3,0.5,20,20,0.1,0.08001615571744608,0.07,2.46,5.24,0,0.5,0,269235.0,0.0,25,7,0.0,0.0,0.0,16133.784735729532
8198905,0.600143146844805,293405.0,176085.0,[],50,1.3,0.5,20,27,0.1,0.07498658775440309,0.2,2.44,5.07,0,1.5,0,293405.0,0.0,25,7,0.0,0.0,0.0,45924.44483967788
5288863,0.4002047292455727,293070.0,117288.0,[],50,1.3,0.5,20,24,0.1,0.07751673354014893,0.16,2.36,5.26,0,0.5,0,293070.0,0.0,25,7,0.0,0.0,0.0,18883.495300035695
4622855,0.6001276731567188,313300.0,188020.0,[],50,1.3,0.5,20,21,0.1,0.07816970284735518,0.09,2.46,4.9,0,0.5,0,313300.0,0.0,25,7,0.0,0.0,0.0,31391.354179757123
