ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents
223914,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,10,0.1,0.09211391359529147,0.04,2.4,2.64,5,0.5,64345.0,0.0,10,8
4489126,0.4005128603621105,64345.0,25771.0,[],50,1.3,0.1,10,13,0.1,0.07248569073457262,0.11,2.4,3.05,5,1.5,64345.0,0.0,10,8
9528078,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,10,0.1,0.081811955569083,0.03,2.4,2.62,5,0.5,64345.0,0.0,10,8
4307003,0.4005128603621105,64345.0,25771.0,[],50,1.3,0.1,10,18,0.1,0.05266880171444881,0.11,2.4,2.9,5,1.5,64345.0,0.0,10,8
5016778,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,11,0.1,0.07254745071162796,0.03,2.4,2.66,5,0.5,64345.0,0.0,10,8
256244,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,10,0.1,0.09275444219484466,0.04,2.4,2.67,5,0.5,64345.0,0.0,10,8
9723521,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,10,0.1,0.08696701110334165,0.04,2.4,2.65,5,0.5,64345.0,0.0,10,8
3591141,0.40052840158520475,64345.0,25772.0,"[(<tree.AND object at 0x7f95d22103d0>, 'G')]",50,1.3,0.1,10,12,0.1,0.06509713568803144,0.09,2.4,2.95,5,1.5,64345.0,0.0,10,8
9155552,0.40051777701070074,57940.0,23206.0,[],50,1.3,0.1,10,10,0.1,0.07994393653456665,0.03,2.4,2.68,5,0.5,57940.0,0.0,10,8
8742796,0.4005594840313933,64345.0,25774.0,"[(<tree.SEQ object at 0x7f4fc065b490>, 'J'), (<tree.SEQ object at 0x7f4fc065bfd0>, 'G')]",50,1.3,0.1,10,12,0.1,0.07963901295311152,0.05,2.4,3.24,5,1.5,64345.0,0.0,10,8
3120025,0.4004662366928277,64345.0,25768.0,"[(<tree.AND object at 0x7f0a0205a830>, 'H')]",50,1.3,0.1,10,15,0.1,0.07514101277762646,0.05,2.4,2.66,5,1.5,64345.0,0.0,10,8
9269302,0.400481777915922,64345.0,25769.0,[],50,1.3,0.1,10,10,0.1,0.08086532881050698,0.02,2.4,2.7,5,0.5,64345.0,0.0,10,8
8880563,0.6016462417078778,64345.0,38712.9274226934,"[(<tree.AND object at 0x7f714a9b1ea0>, 'G'), (<tree.AND object at 0x7f714a9b1a20>, 'E')]",50,1.3,0.1,10,12,0.1,0.07583676020668821,0.05,2.4,2.68,5,1.5,64345.0,0.0,10,8
6947597,0.4004662366928277,64345.0,25768.0,"[(<tree.AND object at 0x7fc69da461d0>, 'A')]",50,1.3,0.1,10,12,0.1,0.0675564930129984,0.04,2.4,2.72,5,1.5,64345.0,0.0,10,8
1186968,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,10,0.1,0.09074183894756717,0.02,2.4,2.77,5,0.5,64345.0,0.0,10,8
6274212,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,10,0.1,0.09009766704635644,0.04,2.4,2.75,5,0.5,64345.0,0.0,10,8
9980805,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,10,0.1,0.07265252678170997,0.03,2.4,2.67,5,0.5,64345.0,0.0,10,8
8666721,0.6004040718004507,64345.0,38633.0,"[(<tree.SEQ object at 0x7f589733c400>, 'H'), (<tree.AND object at 0x7f589733cee0>, 'I')]",50,1.3,0.1,10,14,0.1,0.06620232056667111,0.05,2.4,3.26,5,1.5,64345.0,0.0,10,8
6574313,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,17,0.1,0.05911678895643168,0.1,2.4,2.7,5,0.5,64345.0,0.0,10,8
4711915,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,13,0.1,0.09226844105869421,0.06,2.4,2.7,5,0.5,64345.0,0.0,10,8
3856276,0.6003419069080737,64345.0,38629.0,[],50,1.3,0.1,10,10,0.1,0.08691653540268604,0.02,2.4,2.66,5,0.5,64345.0,0.0,10,8
1815977,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,10,0.1,0.08031443468259945,0.02,2.4,2.65,5,0.5,64345.0,0.0,10,8
2896078,0.6014191948544312,64345.0,38698.318092908376,[],50,1.3,0.1,10,19,0.1,0.09065449578165867,0.16,2.4,3.79,5,2.5,64345.0,0.0,10,8
7240959,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,10,0.1,0.07328057315686173,0.02,2.4,2.65,5,0.5,64345.0,0.0,10,8
2143812,0.400481777915922,64345.0,25769.0,"[(<tree.AND object at 0x7f358250da80>, 'A')]",50,1.3,0.1,10,11,0.1,0.08993227559567371,0.04,2.4,2.69,5,1.5,64345.0,0.0,10,8
3305642,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,10,0.1,0.08005580929714871,0.04,2.4,2.62,5,0.5,64345.0,0.0,10,8
3228614,0.6003419069080737,64345.0,38629.0,[],50,1.3,0.1,10,10,0.1,0.08695810906973869,0.02,2.4,2.64,5,0.5,64345.0,0.0,10,8
291717,0.6002952832387909,64345.0,38626.0,[],50,1.3,0.1,10,9,0.1,0.08695354890554477,0.03,2.4,2.41,5,0.5,64345.0,0.0,10,8
6755757,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,10,0.1,0.08188699809025159,0.03,2.4,2.67,5,0.5,64345.0,0.0,10,8
2009027,0.40060610770067606,64345.0,25777.0,"[(<tree.AND object at 0x7fcd95f4cd90>, 'G')]",50,1.3,0.1,10,23,0.1,0.06549487301029705,0.23,2.4,3.54,5,2.5,64345.0,0.0,10,8
2518548,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,11,0.1,0.06870123118342034,0.03,2.4,2.66,5,0.5,64345.0,0.0,10,8
5276917,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,10,0.1,0.0963826967744133,0.02,2.4,2.7,5,0.5,64345.0,0.0,10,8
8379598,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,10,0.1,0.07344143055260774,0.02,2.4,2.69,5,0.5,64345.0,0.0,10,8
2107050,0.4004662366928277,64345.0,25768.0,[],50,1.3,0.1,10,10,0.1,0.08753022655363614,0.03,2.4,2.66,5,0.5,64345.0,0.0,10,8
