ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents,greedy_costs,sampling_costs,factorial_costs,exact_costs
3617647,0.6000437244485254,228705.0,137233.0,[],50,1.3,0.5,5,5,0.1,0.0854203960768886,0.02,2.88,0.92,0,0.5,0,228705.0,0.0,6,4,0.0,0.0,0.0,74792.87559572334
6122709,1.0,194924.0,194924.0,[],50,1.3,0.5,5,5,0.1,0.08382462670916921,0.01,3.14,0.78,0,0.5,0,194924.0,0.0,6,4,0.0,0.0,0.0,30402.434776353693
8582633,0.793378512579079,217504.0,172563.0,[],50,1.3,0.5,5,5,0.1,0.09597999304023222,0.02,3.22,0.89,0,0.5,0,217504.0,0.0,6,4,0.0,0.0,0.0,17311.821022884316
3950106,0.6000459400482371,217675.0,130615.0,[],50,1.3,0.5,5,5,0.1,0.09077322822203865,0.02,2.9,0.93,0,0.5,0,217675.0,0.0,6,4,0.0,0.0,0.0,47367.51599740052
6080390,0.5940325784664283,251700.0,149518.0,[],50,1.3,0.5,5,5,0.1,0.09524912678069701,0.02,2.78,0.97,0,0.5,0,251700.0,0.0,6,4,0.0,0.0,0.0,38211.141466873
9002768,0.7938654732694618,252277.0,200274.0,[],50,1.3,0.5,5,4,0.1,0.08157372777616827,0.02,2.9,0.71,0,0.5,0,252277.0,0.0,6,4,0.0,0.0,0.0,59659.36691458772
8144224,0.800024975024975,200200.0,160165.0,[],50,1.3,0.5,5,5,0.1,0.04651250237997146,0.02,2.82,0.99,0,0.5,0,200200.0,0.0,6,4,0.0,0.0,0.0,30983.01017101805
8640157,0.6000419841719672,238185.0,142921.0,[],50,1.3,0.5,5,5,0.1,0.04561681785522386,0.03,3.16,0.85,0,0.5,0,238185.0,0.0,6,4,0.0,0.0,0.0,35855.374116340725
7924608,0.4000641972138409,233655.0,93477.0,[],50,1.3,0.5,5,5,0.1,0.07394319198179963,0.03,2.74,1.05,0,0.5,0,233655.0,0.0,6,4,0.0,0.0,0.0,34333.259934275855
1500849,0.4000763494770061,196465.0,78601.0,[],50,1.3,0.5,5,5,0.1,1.0,0.02,2.9,0.89,0,0.5,0,196465.0,0.0,6,4,0.0,0.0,0.0,10365.041836031625
482373,0.6000411988876301,242725.0,145645.0,[],50,1.3,0.5,5,5,0.1,0.07116948042415934,0.04,2.8,0.93,0,0.5,0,242725.0,0.0,6,4,0.0,0.0,0.0,74572.89069817805
7452386,1.0,201121.0,201121.0,[],50,1.3,0.5,5,5,0.1,0.0765531148210755,0.04,3.22,0.83,0,0.5,0,201121.0,0.0,6,4,0.0,0.0,0.0,30931.54663990554
383539,0.6000406661108965,245905.0,147553.0,[],50,1.3,0.5,5,5,0.1,0.07256879384598525,0.02,2.74,0.9,0,0.5,0,245905.0,0.0,6,4,0.0,0.0,0.0,55456.268083446696
1216872,0.7943379959767157,149629.0,118856.0,[],50,1.3,0.5,5,4,0.1,0.08111005867472557,0.03,2.86,0.77,0,0.5,0,149629.0,0.0,6,4,0.0,0.0,0.0,43298.600591393406
9628849,1.0,244035.0,244035.0,[],50,1.3,0.5,5,5,0.1,0.050245494217804505,0.03,2.9,0.94,0,0.5,0,244035.0,0.0,6,4,0.0,0.0,0.0,108144.78112656844
2469439,0.794010685000303,230978.0,183399.0,[],50,1.3,0.5,5,5,0.1,0.07104573066266841,0.01,3.02,0.84,0,0.5,0,230978.0,0.0,6,4,0.0,0.0,0.0,25225.49733124627
5350413,0.7917936703363256,250977.0,198722.0,[],50,1.3,0.5,5,5,0.1,0.07670135262328331,0.04,2.84,0.84,0,0.5,0,250977.0,0.0,6,4,0.0,0.0,0.0,44421.120896927976
9350592,0.7970468532856859,201480.0,160589.0,[],50,1.3,0.5,5,5,0.1,0.08730708313651292,0.02,3.12,0.84,0,0.5,0,201480.0,0.0,6,4,0.0,0.0,0.0,40633.320666699336
1447171,0.8000232190953841,215340.0,172277.0,[],50,1.3,0.5,5,5,0.1,0.08167371599238002,0.03,3.14,0.85,0,0.5,0,215340.0,0.0,6,4,0.0,0.0,0.0,37220.693122069824
946261,0.8000244343449152,204630.0,163709.0,[],50,1.3,0.5,5,5,0.1,1.0,0.04,3.1,0.86,0,0.5,0,204630.0,0.0,6,4,0.0,0.0,0.0,45086.738794518526
3442920,1.0,242914.0,242914.0,[],50,1.3,0.5,5,5,0.1,0.08620749647971183,0.04,2.84,0.88,0,0.5,0,242914.0,0.0,6,4,0.0,0.0,0.0,61667.171039988614
2009893,0.6000466363530372,214425.0,128665.0,[],50,1.3,0.5,5,5,0.1,0.06940359209257542,0.01,2.8,0.92,0,0.5,0,214425.0,0.0,6,4,0.0,0.0,0.0,38635.1551921496
7916319,1.0,210460.0,210460.0,[],50,1.3,0.5,5,5,0.1,0.07983001983371768,0.03,3.14,0.81,0,0.5,0,210460.0,0.0,6,4,0.0,0.0,0.0,48136.98264699259
1592925,1.0,244776.0,244776.0,[],50,1.3,0.5,5,5,0.1,0.0875716427528095,0.1,2.98,0.83,0,0.5,0,244776.0,0.0,6,4,0.0,0.0,0.0,47892.63655398397
