ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents,greedy_costs,sampling_costs,factorial_costs,exact_costs
6826396,1.0,271779.0,271779.0,[],50,1.3,0.5,5,5,0.1,0.08468297359079181,0.03,5.84,0.49,0,0.5,0,271779.0,0.0,6,1,0.0,0.0,0.0,118669.79700275703
4254579,1.0,248358.0,248358.0,[],50,1.3,0.5,5,5,0.1,0.07370640964883643,0.02,5.38,0.53,0,0.5,0,248358.0,0.0,6,1,0.0,0.0,0.0,41247.94462659411
8477483,1.0,228426.0,228426.0,[],50,1.3,0.5,5,5,0.1,0.05341381489470447,0.04,6.08,0.47,0,0.5,0,228426.0,0.0,6,1,0.0,0.0,0.0,79147.41109498174
3886325,1.0,234262.0,234262.0,[],50,1.3,0.5,5,5,0.1,0.09877075812496167,0.04,5.86,0.48,0,0.5,0,234262.0,0.0,6,1,0.0,0.0,0.0,39428.25259701541
9105593,1.0,236781.0,236781.0,[],50,1.3,0.5,5,5,0.1,0.08000406323505073,0.04,5.5,0.48,0,0.5,0,236781.0,0.0,10,1,0.0,0.0,0.0,44508.92602358144
6576211,1.0,298570.0,298570.0,[],50,1.3,0.5,5,5,0.1,0.05938541087166435,0.05,5.199999999999999,0.58,0,0.5,0,298570.0,0.0,10,1,0.0,0.0,0.0,48758.50668353915
6402319,1.0,311516.0,311516.0,[],50,1.3,0.5,5,5,0.1,0.08628490270567177,0.03,5.34,0.48,0,0.5,0,311516.0,0.0,10,1,0.0,0.0,0.0,68381.74770451253
1125892,1.0,321063.0,321063.0,[],50,1.3,0.5,5,5,0.1,0.07984877713110725,0.04,5.880000000000001,0.48,0,0.5,0,321063.0,0.0,10,1,0.0,0.0,0.0,82392.78325452497
6450443,1.0,265360.0,265360.0,[],50,1.3,0.5,5,5,0.1,0.07470830279195567,0.05,5.68,0.5,0,0.5,0,265360.0,0.0,15,1,0.0,0.0,0.0,60360.983423223326
7591351,1.0,316251.0,316251.0,[],50,1.3,0.5,5,5,0.1,0.07596409525043442,0.05,5.7,0.5,0,0.5,0,316251.0,0.0,15,1,0.0,0.0,0.0,86899.54618876462
7397947,1.0,347037.0,347037.0,[],50,1.3,0.5,5,5,0.1,0.07951181261344603,0.05,5.82,0.56,0,0.5,0,347037.0,0.0,15,1,0.0,0.0,0.0,74255.35136366668
6440491,1.0,267073.0,267073.0,[],50,1.3,0.5,5,5,0.1,0.07852718300060196,0.03,5.52,0.48,0,0.5,0,267073.0,0.0,15,1,0.0,0.0,0.0,56565.50983895396
7642932,1.0,219181.0,219181.0,[],50,1.3,0.5,5,5,0.1,0.07353509634393496,0.07,5.68,0.51,0,0.5,0,219181.0,0.0,20,1,0.0,0.0,0.0,43680.094381894225
4051518,1.0,135347.0,135347.0,[],50,1.3,0.5,5,5,0.1,0.08078995972767,0.04,5.720000000000001,0.53,0,0.5,0,135347.0,0.0,20,1,0.0,0.0,0.0,19769.402918366257
9443560,1.0,292925.0,292925.0,[],50,1.3,0.5,5,5,0.1,0.07676805930316663,0.05,5.26,0.5,0,0.5,0,292925.0,0.0,20,1,0.0,0.0,0.0,31353.360364814384
2199879,1.0,251181.0,251181.0,[],50,1.3,0.5,5,5,0.1,0.08008622295770751,0.05,5.9,0.5,0,0.5,0,251181.0,0.0,20,1,0.0,0.0,0.0,24599.14483023404
9607677,1.0,200093.0,200093.0,[],50,1.3,0.5,5,5,0.1,0.08164368818180792,0.06,5.38,0.49,0,0.5,0,200093.0,0.0,25,1,0.0,0.0,0.0,4457.100920616716
304591,1.0,183490.0,183490.0,[],50,1.3,0.5,5,5,0.1,0.08187756582885339,0.04,5.78,0.6,0,0.5,0,183490.0,0.0,25,1,0.0,0.0,0.0,32065.98899611397
4589096,1.0,245891.0,245891.0,[],50,1.3,0.5,5,5,0.1,0.0768864833580349,0.05,5.800000000000001,0.52,0,0.5,0,245891.0,0.0,25,1,0.0,0.0,0.0,19940.580797307874
8426742,1.0,164729.0,164729.0,[],50,1.3,0.5,5,5,0.1,0.07662276495041181,0.05,5.42,0.51,0,0.5,0,164729.0,0.0,25,1,0.0,0.0,0.0,68902.3265926329
