ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,TransmissionRatioOperatorPlacement,TransmissionRatioCentral,PushPullTime,MaxPushPullLatency
1646991,0.648609896835111,57190.0,37094.0,[],50,1.3,0.1,10,10,0.1,0.08557196872206635,0.03,2.58,2.2,5,0.5,57190.0,0.0,10,7,18217.77226598396,0.49112450169795546,0.3185482123795062,10.178651809692383,11
7757195,0.6004196537856269,57190.0,34338.0,[],50,1.3,0.1,10,10,0.1,0.0867700346754405,0.02,2.58,2.22,5,0.5,57190.0,0.0,10,7,12577.922806961735,0.36629747821543873,0.21993220505266192,4.886466026306152,11
813342,0.8002844275894762,42190.0,33764.0,[],50,1.3,0.1,10,10,0.1,0.06711370074919835,0.02,2.58,2.22,5,0.5,42190.0,0.0,10,7,18703.159424304726,0.5539379049965859,0.44330787922030634,2.399395704269409,13
8969889,0.6003671970624235,57190.0,34335.0,[],50,1.3,0.1,10,10,0.1,0.07865613642607824,0.04,2.58,2.18,5,0.5,57190.0,0.0,10,7,14176.55675046834,0.4128893767429253,0.24788523781200106,13.413393259048462,11
7640840,0.6003846826368247,57190.0,34336.0,[],50,1.3,0.1,10,13,0.1,0.07946743816296144,0.05,2.58,2.39,5,1.5,57190.0,0.0,10,7,11598.999223818973,0.3378086912808415,0.20281516390660909,12.65587592124939,11
2357432,0.6003846826368247,57190.0,34336.0,[],50,1.3,0.1,10,10,0.1,0.07525246482538159,0.03,2.58,2.2,5,0.5,57190.0,0.0,10,7,11140.49377099505,0.3244552006930059,0.19479793269793758,14.292793989181519,11
6166612,0.6003671970624235,57190.0,34335.0,[],50,1.3,0.1,10,10,0.1,0.0773457927803051,0.03,2.58,2.26,5,0.5,57190.0,0.0,10,7,13198.42721019793,0.38440154973636026,0.23078208096167038,14.87446641921997,11
8043569,0.7827941947892988,57190.0,44768.0,[],50,1.3,0.1,10,13,0.1,0.06291439273170438,0.08,2.58,2.21,5,0.5,57190.0,0.0,10,7,28999.42712845483,0.6477713350709174,0.5070716406444279,14.071703672409058,13
3987765,0.5829865361077111,57190.0,33341.0,[],50,1.3,0.1,10,10,0.1,0.08647226073875647,0.03,2.58,2.16,5,0.5,57190.0,0.0,10,7,19657.497079303335,0.5895893068385272,0.34372262771993944,11.44607162475586,11
7084125,0.765343591536982,57190.0,43770.0,[],50,1.3,0.1,10,10,0.1,0.09091504907585536,0.02,2.58,2.18,5,0.5,57190.0,0.0,10,7,32123.11824995615,0.7339072024207483,0.5616911741555544,1.7850470542907715,13
2677720,0.6003671970624235,57190.0,34335.0,[],50,1.3,0.1,10,10,0.1,0.07753715863518637,0.02,2.58,2.21,5,0.5,57190.0,0.0,10,7,16024.883490965645,0.46672152296390407,0.2802042925505446,4.425579309463501,11
4312573,0.7825668823220843,57190.0,44755.0,[],50,1.3,0.1,10,11,0.1,0.07028071572787938,0.03,2.58,2.14,5,0.5,57190.0,0.0,10,7,14236.360933083663,0.3180954291829664,0.24893094829661938,5.0465171337127686,13
8477279,0.8002447980416156,57190.0,45766.0,[],50,1.3,0.1,10,10,0.1,0.07128197727297111,0.03,2.58,2.15,5,0.5,57190.0,0.0,10,7,11903.833148844586,0.2601021096194683,0.20814536018262958,13.489990949630737,13
7223722,0.772250393425424,57190.0,44165.0,[],50,1.3,0.1,10,11,0.1,0.05965237175034783,0.04,2.58,2.24,5,0.5,57190.0,0.0,10,7,17047.54512215047,0.3859967196230153,0.29808611858979667,7.761055946350098,13
8634673,0.7653785626857842,57190.0,43772.0,[],50,1.3,0.1,10,10,0.1,0.07122179589995979,0.03,2.58,2.21,5,0.5,57190.0,0.0,10,7,23681.44106503193,0.5410180267072998,0.4140835996683324,6.779394865036011,13
9016300,0.8002098268928134,57190.0,45764.0,"[(<tree.AND object at 0x7f6653507d60>, 'G')]",50,1.3,0.1,10,10,0.1,0.09472960723350843,0.03,2.58,2.21,5,1.5,57190.0,0.0,10,7,17818.431321175693,0.3893547618472094,0.3115655065776481,8.097669839859009,13
777189,0.7884245497464591,57190.0,45090.0,[],50,1.3,0.1,10,10,0.1,0.0800788805510125,0.02,2.58,2.17,5,0.5,57190.0,0.0,10,7,11832.56614378155,0.26242107216193283,0.20689921566325495,6.049318075180054,13
893432,0.5865535932855395,57190.0,33545.0,[],50,1.3,0.1,10,10,0.1,0.0893967783636507,0.02,2.58,2.16,5,0.5,57190.0,0.0,10,7,18756.4579210613,0.5591431784486899,0.3279674404801766,0.31809258460998535,11
9701353,0.5222660653889515,53220.0,27795.0,[],50,1.3,0.1,10,10,0.1,0.07175421620099615,0.04,2.58,2.19,5,0.5,53220.0,0.0,10,7,10666.095203732628,0.3837415075996628,0.20041516730050032,5.950709342956543,11
8953128,0.8002447980416156,57190.0,45766.0,[],50,1.3,0.1,10,10,0.1,0.09441749125716929,0.06,2.58,2.18,5,0.5,57190.0,0.0,10,7,24437.156839685493,0.5339587650151967,0.4272977240721366,10.257552146911621,13
6057054,0.5828816226613044,57190.0,33335.0,[],50,1.3,0.1,10,10,0.1,0.07919903966926549,0.04,2.58,2.2,5,0.5,57190.0,0.0,10,7,11132.041772873466,0.33394455595840605,0.19465014465594452,12.460903406143188,11
4692734,0.6004021682112257,57190.0,34337.0,[],50,1.3,0.1,10,10,0.1,0.08438762119788425,0.05,2.58,2.23,5,0.5,57190.0,0.0,10,7,9038.657222920618,0.26323374851969067,0.1580461133575908,14.059858798980713,11
1054305,0.6004021682112257,57190.0,34337.0,[],50,1.3,0.1,10,10,0.1,0.0690871458041864,0.02,2.58,2.17,5,0.5,57190.0,0.0,10,7,15166.372835286431,0.44169184364639985,0.26519274060651216,6.881462574005127,11
4662617,0.6003671970624235,57190.0,34335.0,[],50,1.3,0.1,10,10,0.1,0.08515383565709776,0.02,2.58,2.19,5,0.5,57190.0,0.0,10,7,17013.91331641355,0.49552681859366676,0.2974980471483397,10.76848578453064,11
2940291,0.6003846826368247,57190.0,34336.0,[],50,1.3,0.1,10,11,0.1,0.07789331484312617,0.04,2.58,2.19,5,0.5,57190.0,0.0,10,7,16416.648866590134,0.47811768600274157,0.28705453517380897,13.526486158370972,11
5104967,0.8003671970624235,57190.0,45773.0,[],50,1.3,0.1,10,14,0.1,0.06655056112400527,0.06,2.58,2.65,5,2.5,57190.0,0.0,10,7,24029.538978388307,0.5249719043625786,0.4201702916311996,14.192098617553711,13
4104712,0.6120786496161437,57190.0,35004.77797154726,"[(<tree.AND object at 0x7fee89e16290>, 'F')]",50,1.3,0.1,10,10,0.1,0.07096981455186419,0.03,2.58,2.23,5,1.5,57190.0,0.0,10,7,14782.701319829144,0.4223052444967623,0.25848402377739366,7.341520309448242,11
7535817,0.791886452276824,57190.0,45287.98620571156,[],50,1.3,0.1,10,13,0.1,0.06630469016489371,0.05,2.58,2.42,5,1.5,57190.0,0.0,10,7,23115.02412159314,0.5104007940780982,0.40417947406177895,14.60398244857788,13
9159947,0.6004021682112257,57190.0,34337.0,[],50,1.3,0.1,10,10,0.1,0.07705092619213123,0.03,2.58,2.17,5,0.5,57190.0,0.0,10,7,18428.93051772873,0.5367076482432575,0.32224043570079963,7.089357852935791,11
1278009,0.5812680844889438,47190.0,27430.04090703326,[],50,1.3,0.1,10,14,0.1,0.05887810595220556,0.04,2.58,2.42,5,1.5,47190.0,0.0,10,7,11884.627746470951,0.4332705075705391,0.2518463180010797,6.234378337860107,11
2323324,0.7477880748382585,57190.0,42766.0,[],50,1.3,0.1,10,10,0.1,0.09135251466855562,0.06,2.58,2.22,5,0.5,57190.0,0.0,10,7,23755.32362488987,0.5554721887688787,0.41537547866567354,10.432044744491577,13
3839961,0.5898583668473509,57190.0,33734.0,[],50,1.3,0.1,10,11,0.1,0.06978481703437221,0.06,2.58,2.18,5,0.5,57190.0,0.0,10,7,16412.588388747423,0.4865295662757877,0.28698353538638616,14.597750663757324,11
7077281,0.8002273124672146,57190.0,45765.0,[],50,1.3,0.1,10,11,0.1,0.07684728578809771,0.03,2.58,2.23,5,0.5,57190.0,0.0,10,7,18240.264060280184,0.39856361980291016,0.3189414943220875,12.951617956161499,13
2401934,0.600437139360028,57190.0,34339.0,[],50,1.3,0.1,10,10,0.1,0.08337135457966194,0.03,2.58,2.18,5,0.5,57190.0,0.0,10,7,8556.26546454767,0.24917049024571683,0.14961121637607397,5.921473741531372,11
8585629,0.6003671970624235,57190.0,34335.0,[],50,1.3,0.1,10,10,0.1,0.07743918013990593,0.05,2.58,2.24,5,0.5,57190.0,0.0,10,7,14495.79140506581,0.4221870221367645,0.25346723911638064,13.341236114501953,11
9235364,0.8002273124672146,57190.0,45765.0,[],50,1.3,0.1,10,15,0.1,0.06008560727128048,0.05,2.58,2.46,5,1.5,57190.0,0.0,10,7,14298.486955605378,0.31243279701967397,0.25001725748566844,15.384423732757568,13
