ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents,greedy_costs,sampling_costs,factorial_costs,exact_costs,TransmissionRatioINEv,TransmissionRatioCentral
6826396,1.0,271779.0,271779.0,[],50,1.3,0.5,5,5,0.1,0.0846829735907918,0.03,5.84,0.49,0,0.5,0,271779.0,0.0,6,1,0.0,0.0,0.0,118669.79700275704,0.4366407890335789,0.4366407890335789
4254579,1.0,248358.0,248358.0,[],50,1.3,0.5,5,5,0.1,0.0737064096488364,0.02,5.38,0.53,0,0.5,0,248358.0,0.0,6,1,0.0,0.0,0.0,41247.94462659411,0.16608260908283248,0.16608260908283248
8477483,1.0,228426.0,228426.0,[],50,1.3,0.5,5,5,0.1,0.0534138148947044,0.04,6.08,0.47,0,0.5,0,228426.0,0.0,6,1,0.0,0.0,0.0,79147.41109498174,0.34649037804357535,0.34649037804357535
3886325,1.0,234262.0,234262.0,[],50,1.3,0.5,5,5,0.1,0.0987707581249616,0.04,5.86,0.48,0,0.5,0,234262.0,0.0,6,1,0.0,0.0,0.0,39428.25259701541,0.16830835815034195,0.16830835815034195
9105593,1.0,236781.0,236781.0,[],50,1.3,0.5,5,5,0.1,0.0800040632350507,0.04,5.5,0.48,0,0.5,0,236781.0,0.0,10,1,0.0,0.0,0.0,44508.92602358144,0.18797507411313172,0.18797507411313172
6576211,1.0,298570.0,298570.0,[],50,1.3,0.5,5,5,0.1,0.0593854108716643,0.05,5.199999999999999,0.58,0,0.5,0,298570.0,0.0,10,1,0.0,0.0,0.0,48758.50668353915,0.16330678461847858,0.16330678461847858
6402319,1.0,311516.0,311516.0,[],50,1.3,0.5,5,5,0.1,0.0862849027056717,0.03,5.34,0.48,0,0.5,0,311516.0,0.0,10,1,0.0,0.0,0.0,68381.74770451253,0.2195127945418936,0.2195127945418936
1125892,1.0,321063.0,321063.0,[],50,1.3,0.5,5,5,0.1,0.0798487771311072,0.04,5.880000000000001,0.48,0,0.5,0,321063.0,0.0,10,1,0.0,0.0,0.0,82392.78325452497,0.25662497159288045,0.25662497159288045
6450443,1.0,265360.0,265360.0,[],50,1.3,0.5,5,5,0.1,0.0747083027919556,0.05,5.68,0.5,0,0.5,0,265360.0,0.0,15,1,0.0,0.0,0.0,60360.983423223326,0.22746828242095013,0.22746828242095013
7591351,1.0,316251.0,316251.0,[],50,1.3,0.5,5,5,0.1,0.0759640952504344,0.05,5.7,0.5,0,0.5,0,316251.0,0.0,15,1,0.0,0.0,0.0,86899.54618876462,0.27478030484888466,0.27478030484888466
7397947,1.0,347037.0,347037.0,[],50,1.3,0.5,5,5,0.1,0.079511812613446,0.05,5.82,0.56,0,0.5,0,347037.0,0.0,15,1,0.0,0.0,0.0,74255.35136366668,0.21396955184509628,0.21396955184509628
6440491,1.0,267073.0,267073.0,[],50,1.3,0.5,5,5,0.1,0.0785271830006019,0.03,5.52,0.48,0,0.5,0,267073.0,0.0,15,1,0.0,0.0,0.0,56565.50983895396,0.21179793479293663,0.21179793479293663
7642932,1.0,219181.0,219181.0,[],50,1.3,0.5,5,5,0.1,0.0735350963439349,0.07,5.68,0.51,0,0.5,0,219181.0,0.0,20,1,0.0,0.0,0.0,43680.09438189423,0.19928777759885316,0.19928777759885316
4051518,1.0,135347.0,135347.0,[],50,1.3,0.5,5,5,0.1,0.08078995972767,0.04,5.720000000000001,0.53,0,0.5,0,135347.0,0.0,20,1,0.0,0.0,0.0,19769.402918366257,0.1460645815449641,0.1460645815449641
9443560,1.0,292925.0,292925.0,[],50,1.3,0.5,5,5,0.1,0.0767680593031666,0.05,5.26,0.5,0,0.5,0,292925.0,0.0,20,1,0.0,0.0,0.0,31353.360364814384,0.10703545400636472,0.10703545400636472
2199879,1.0,251181.0,251181.0,[],50,1.3,0.5,5,5,0.1,0.0800862229577075,0.05,5.9,0.5,0,0.5,0,251181.0,0.0,20,1,0.0,0.0,0.0,24599.14483023404,0.09793393939125189,0.09793393939125189
9607677,1.0,200093.0,200093.0,[],50,1.3,0.5,5,5,0.1,0.0816436881818079,0.06,5.38,0.49,0,0.5,0,200093.0,0.0,25,1,0.0,0.0,0.0,4457.100920616716,0.022275146659886735,0.022275146659886735
304591,1.0,183490.0,183490.0,[],50,1.3,0.5,5,5,0.1,0.0818775658288533,0.04,5.78,0.6,0,0.5,0,183490.0,0.0,25,1,0.0,0.0,0.0,32065.98899611397,0.1747560575296418,0.1747560575296418
4589096,1.0,245891.0,245891.0,[],50,1.3,0.5,5,5,0.1,0.0768864833580349,0.05,5.800000000000001,0.52,0,0.5,0,245891.0,0.0,25,1,0.0,0.0,0.0,19940.580797307877,0.08109520396154343,0.08109520396154343
8426742,1.0,164729.0,164729.0,[],50,1.3,0.5,5,5,0.1,0.0766227649504118,0.05,5.42,0.51,0,0.5,0,164729.0,0.0,25,1,0.0,0.0,0.0,68902.3265926329,0.41827684616936245,0.41827684616936245
994231,1.0,274485.0,274485.0,[],50,1.3,0.5,10,9,0.1,0.073580538757449,0.03,6.0,0.84,0,0.5,0,274485.0,0.0,6,1,0.0,0.0,0.0,84563.03247238773,0.30807888399143024,0.30807888399143024
9867595,1.0,293775.0,293775.0,[],50,1.3,0.5,10,9,0.1,1.0,0.11,5.720000000000001,0.86,0,0.5,0,293775.0,0.0,6,1,0.0,0.0,0.0,55946.63136477728,0.1904404097175637,0.1904404097175637
3586355,1.0,267028.0,267028.0,[],50,1.3,0.5,10,10,0.1,0.0916163022436862,0.03,5.76,0.98,0,0.5,0,267028.0,0.0,6,1,0.0,0.0,0.0,25153.797835278518,0.09419910209895037,0.09419910209895037
9691059,1.0,280627.0,280627.0,[],50,1.3,0.5,10,10,0.1,0.0974437284358937,0.08,6.0,0.93,0,0.5,0,280627.0,0.0,6,1,0.0,0.0,0.0,132874.57150298049,0.4734917577531046,0.4734917577531046
324665,1.0,300023.0,300023.0,[],50,1.3,0.5,10,10,0.1,0.0830782174318493,0.04,5.94,0.96,0,0.5,0,300023.0,0.0,10,1,0.0,0.0,0.0,88038.77990298747,0.2934401026020921,0.2934401026020921
7208810,1.0,342502.0,342502.0,[],50,1.3,0.5,10,10,0.1,0.0684111435255475,0.06,5.24,0.97,0,0.5,0,342502.0,0.0,10,1,0.0,0.0,0.0,96980.92414003646,0.2831543294346791,0.2831543294346791
4064369,1.0,277788.0,277788.0,[],50,1.3,0.5,10,10,0.1,0.0824557674868202,0.06,5.82,0.97,0,0.5,0,277788.0,0.0,10,1,0.0,0.0,0.0,70733.43906075181,0.25463101019753126,0.25463101019753126
6129940,1.0,328266.0,328266.0,[],50,1.3,0.5,10,10,0.1,0.0755722401692349,0.04,5.68,0.98,0,0.5,0,328266.0,0.0,10,1,0.0,0.0,0.0,69616.85896505495,0.21207453396043136,0.21207453396043136
9040269,1.0,360464.0,360464.0,[],50,1.3,0.5,10,10,0.1,0.0862270082011945,0.07,5.800000000000001,1.03,0,0.5,0,360464.0,0.0,15,1,0.0,0.0,0.0,71122.35336496316,0.19730778486884448,0.19730778486884448
6774762,1.0,350536.0,350536.0,[],50,1.3,0.5,10,11,0.1,0.0813325610627456,0.11,5.06,1.01,0,0.5,0,350536.0,0.0,15,1,0.0,0.0,0.0,69882.05948270547,0.1993577249774787,0.1993577249774787
2810783,1.0,352361.0,352361.0,[],50,1.3,0.5,10,10,0.1,0.0665586018437734,0.04,5.48,1.01,0,0.5,0,352361.0,0.0,15,1,0.0,0.0,0.0,76630.27686163339,0.21747661308042998,0.21747661308042998
7367524,1.0,329664.0,329664.0,[],50,1.3,0.5,10,10,0.1,0.081125132288304,0.1,5.279999999999999,1.06,0,0.5,0,329664.0,0.0,15,1,0.0,0.0,0.0,63340.17592070321,0.19213555596214088,0.19213555596214088
6951809,1.0,371861.0,371861.0,[],50,1.3,0.5,10,10,0.1,0.0739132121429843,0.05,5.5600000000000005,1.01,0,0.5,0,371861.0,0.0,20,1,0.0,0.0,0.0,90550.39677518752,0.24350603256374698,0.24350603256374698
9393408,1.0,257764.0,257764.0,[],50,1.3,0.5,10,10,0.1,0.0708980326739717,0.06,5.68,1.07,0,0.5,0,257764.0,0.0,20,1,0.0,0.0,0.0,48600.64628181856,0.18854706740203658,0.18854706740203658
7216797,1.0,319174.0,319174.0,[],50,1.3,0.5,10,10,0.1,0.0807381146221982,0.08,5.359999999999999,0.98,0,0.5,0,319174.0,0.0,20,1,0.0,0.0,0.0,50020.35169820896,0.1567181277240908,0.1567181277240908
8467076,1.0,326216.0,326216.0,[],50,1.3,0.5,10,10,0.1,0.0854072928151034,0.05,5.880000000000001,0.99,0,0.5,0,326216.0,0.0,20,1,0.0,0.0,0.0,105681.3264534422,0.32396119887878644,0.32396119887878644
2043997,1.0,376387.0,376387.0,[],50,1.3,0.5,10,11,0.1,0.0736059002360946,0.1,5.98,1.14,0,0.5,0,376387.0,0.0,25,1,0.0,0.0,0.0,60780.03987319674,0.1614828351489205,0.1614828351489205
7741113,1.0,242714.0,242714.0,[],50,1.3,0.5,10,11,0.1,0.0757166129512695,0.09,5.66,0.99,0,0.5,0,242714.0,0.0,25,1,0.0,0.0,0.0,15746.0568916814,0.06487494290268135,0.06487494290268135
659942,1.0,316697.0,316697.0,[],50,1.3,0.5,10,10,0.1,0.0744323723955001,0.11,6.06,1.01,0,0.5,0,316697.0,0.0,25,1,0.0,0.0,0.0,60826.76237435072,0.1920661148490536,0.1920661148490536
1675218,1.0,356994.0,356994.0,[],50,1.3,0.5,10,10,0.1,0.0842298568909733,0.07,5.54,1.04,0,0.5,0,356994.0,0.0,25,1,0.0,0.0,0.0,92585.23049879762,0.25934674111833145,0.25934674111833145
