ID,TransmissionRatio,Total Transmissions,Total Savings,Total Transmission INEv,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
5377397,1.0,160604,159470.50734947962,160604.0,"[(<tree.SEQ object at 0x7f650ec72710>, 'E')]",20,1.3,0.5,10,48,0.1,0.08820443838021284,3.53,3.95,0.14,0,3.0,0,160604.0,0.0,6
4167013,1.0,160604,160604.0,160604.0,"[(<tree.SEQ object at 0x7fc94ea54340>, 'E'), (<tree.AND object at 0x7fc94ea54460>, 'E')]",20,1.3,0.5,10,45,0.1,0.0691236981489584,1.45,3.95,0.09,0,3.0,0,160604.0,0.0,6
7025993,1.0,160604,16856.71803561401,160604.0,"[(<tree.AND object at 0x7fbe800c2a70>, 'C')]",20,1.3,0.5,10,24,0.1,0.07402399765427126,0.26,3.95,0.07,0,2.0,0,160604.0,0.0,6
6866284,1.0,160604,160604.0,160604.0,"[(<tree.AND object at 0x7fe24999b010>, 'E'), (<tree.SEQ object at 0x7fe24999b370>, 'E')]",20,1.3,0.5,10,22,0.1,1.0,0.44,3.95,0.04,0,2.0,0,160604.0,0.0,6
4758218,1.0,160604,159754.19122999132,160604.0,[],20,1.3,0.5,10,34,0.1,0.06635711243578268,0.56,3.95,0.07,0,2.5,0,160604.0,0.0,6
5714533,1.0,160604,7002.084861107999,160604.0,"[(<tree.AND object at 0x7f399f35ed10>, 'E'), (<tree.AND object at 0x7f399f35e470>, 'C')]",20,1.3,0.5,10,28,0.1,0.04320189567877313,0.49,3.95,0.09,0,2.0,0,160604.0,0.0,6
1699295,1.0,160604,11728.761073169855,160604.0,"[(<tree.SEQ object at 0x7f4774ef8a60>, 'E'), (<tree.AND object at 0x7f4774ef9000>, 'E')]",20,1.3,0.5,10,38,0.1,0.06269063378516318,1.05,3.95,0.07,0,2.5,0,160604.0,0.0,6
9218197,1.0,160604,5859.655633590559,160604.0,[],20,1.3,0.5,10,29,0.1,0.08178827106099248,0.45,3.95,0.06,0,2.0,0,160604.0,0.0,6
5684944,1.0,160604,159399.76308781726,160604.0,"[(<tree.AND object at 0x7fcdddd47bb0>, 'E'), (<tree.AND object at 0x7fcdddd501f0>, 'E'), (<tree.AND object at 0x7fcdddd47bb0>, 'E')]",20,1.3,0.5,10,39,0.1,0.06620038410788802,1.35,3.95,0.13,0,3.0,0,160604.0,0.0,6
4415432,1.0,160604,159457.02356073342,160604.0,"[(<tree.AND object at 0x7f4d43cf1b70>, 'E')]",20,1.3,0.5,10,48,0.1,0.070364636260622,1.75,3.95,0.06,0,2.5,0,160604.0,0.0,6
5682823,1.0,160604,159215.2994852995,160604.0,"[(<tree.AND object at 0x7f9a28d44040>, 'E')]",20,1.3,0.5,10,32,0.1,0.06817174198797178,0.7,3.95,0.08,0,3.0,0,160604.0,0.0,6
4678136,1.0,160604,11619.55963989272,160604.0,"[(<tree.SEQ object at 0x7f921d23b0d0>, 'C')]",20,1.3,0.5,10,53,0.1,0.07357370920624305,3.74,3.95,0.06,0,3.5,0,160604.0,0.0,6
8329928,1.0,160604,160604.0,160604.0,"[(<tree.SEQ object at 0x7faff9653640>, 'E')]",20,1.3,0.5,10,23,0.1,0.08905342946145567,0.25,3.95,0.08,0,2.5,0,160604.0,0.0,6
359408,1.0,160604,74997.56269280224,160604.0,"[(<tree.AND object at 0x7f3a5ebb14e0>, 'E'), (<tree.AND object at 0x7f3a5ebb19c0>, 'C'), (<tree.SEQ object at 0x7f3a5ebb08e0>, 'E')]",20,1.3,0.5,10,31,0.1,0.08880679830126625,0.55,3.95,0.1,0,2.5,0,160604.0,0.0,6
9841749,1.0,160604,159583.9067070449,160604.0,"[(<tree.SEQ object at 0x7f9f06d35b10>, 'C'), (<tree.SEQ object at 0x7f9f06d35b10>, 'C'), (<tree.AND object at 0x7f9f06d36b90>, 'C')]",20,1.3,0.5,10,26,0.1,0.08759592452737794,0.36,3.95,0.06,0,3.5,0,160604.0,0.0,6
8875918,1.0,160604,146037.6202173509,160604.0,"[(<tree.AND object at 0x7fc88440ec80>, 'C'), (<tree.AND object at 0x7fc88440eb60>, 'C'), (<tree.AND object at 0x7fc88440ec80>, 'C'), (<tree.AND object at 0x7fc8844185e0>, 'E')]",20,1.3,0.5,10,54,0.1,0.0836942386388447,2.48,3.95,0.09,0,3.5,0,160604.0,0.0,6
8214957,1.0,160604,159408.0694990091,160604.0,"[(<tree.AND object at 0x7fb5941298d0>, 'C'), (<tree.AND object at 0x7fb5941298d0>, 'C')]",20,1.3,0.5,10,48,0.1,0.08299307158040681,3.72,3.95,0.07,0,3.0,0,160604.0,0.0,6
4562446,1.0,160604,39520.55687480097,160604.0,"[(<tree.SEQ object at 0x7fce3ad95750>, 'E'), (<tree.SEQ object at 0x7fce3ad95750>, 'E'), (<tree.AND object at 0x7fce3ad97730>, 'C'), (<tree.SEQ object at 0x7fce3ad96050>, 'E'), (<tree.SEQ object at 0x7fce3ad95db0>, 'E')]",20,1.3,0.5,10,46,0.1,0.09556968351786453,1.31,3.95,0.11,0,3.0,0,160604.0,0.0,6
4892733,1.0,160604,9206.859039695253,160604.0,"[(<tree.SEQ object at 0x7fd5b9867550>, 'E'), (<tree.AND object at 0x7fd5b9870070>, 'E')]",20,1.3,0.5,10,44,0.1,0.07541364838333253,1.33,3.95,0.1,0,3.5,0,160604.0,0.0,6
9756661,1.000024492745686,160607,89394.64263920522,160607.93363292818,"[(<tree.AND object at 0x7f5f663d4940>, 'C'), (<tree.AND object at 0x7f5f663d60e0>, 'C'), (<tree.AND object at 0x7f5f663d5960>, 'E')]",20,1.3,0.5,10,93,0.1,0.04168645080241764,15.0,3.95,0.12,0,4.0,0,160604.0,0.0,6
5885970,1.0,160604,159255.50552173526,160604.0,"[(<tree.SEQ object at 0x7fb63c2591e0>, 'C'), (<tree.SEQ object at 0x7fb63c2591e0>, 'C'), (<tree.SEQ object at 0x7fb63c2591e0>, 'C'), (<tree.AND object at 0x7fb63c25aa40>, 'C'), (<tree.AND object at 0x7fb63c25ac20>, 'A')]",20,1.3,0.5,10,31,0.1,0.07301482215291179,0.95,3.95,0.08,0,3.0,0,160604.0,0.0,6
9516642,1.0,160604,160376.9961688745,160604.0,[],20,1.3,0.5,10,35,0.1,0.061611934610581544,1.24,3.95,0.07,0,3.5,0,160604.0,0.0,6
2559525,1.000023829980624,160607,160600.79224327192,160607.82719020813,"[(<tree.AND object at 0x7f1c1660a1a0>, 'A'), (<tree.SEQ object at 0x7f1c1660b280>, 'C')]",20,1.3,0.5,10,55,0.1,0.07474121974847851,2.92,3.95,0.09,0,3.0,0,160604.0,0.0,6
831245,1.0,160604,21966.127141478137,160604.0,"[(<tree.AND object at 0x7f7ea16549d0>, 'E'), (<tree.AND object at 0x7f7ea164bdf0>, 'C')]",20,1.3,0.5,10,42,0.1,0.08108144740778106,0.82,3.95,0.07,0,3.0,0,160604.0,0.0,6
5547398,1.0,160604,159420.1032858079,160604.0,[],20,1.3,0.5,10,48,0.1,0.08608104137140793,2.63,3.95,0.04,0,3.5,0,160604.0,0.0,6
905278,1.0,160604,160604.0,160604.0,"[(<tree.AND object at 0x7f879871ceb0>, 'E'), (<tree.AND object at 0x7f879871d210>, 'C')]",20,1.3,0.5,10,28,0.1,1.0,0.64,3.95,0.05,0,3.0,0,160604.0,0.0,6
7758063,1.0,160604,159477.2806263804,160604.0,"[(<tree.SEQ object at 0x7fb75298eb00>, 'C')]",20,1.3,0.5,10,22,0.1,0.08473708036298025,0.33,3.95,0.03,0,2.0,0,160604.0,0.0,6
617269,1.0,160604,159770.6004719922,160604.0,"[(<tree.AND object at 0x7f106cdd8a30>, 'C'), (<tree.AND object at 0x7f106cdd9b70>, 'C')]",20,1.3,0.5,10,28,0.1,0.08557627472978883,0.51,3.95,0.13,0,1.0,0,160604.0,0.0,6
128409,1.0,160604,30548.398898108975,160604.0,[],20,1.3,0.5,10,33,0.1,0.07817655817261623,0.55,3.95,0.08,0,2.0,0,160604.0,0.0,6
3170545,1.0,160604,160604.0,160604.0,[],20,1.3,0.5,10,30,0.1,1.0,0.41,3.95,0.06,0,1.5,0,160604.0,0.0,6
